price,id_web,post_title,product_id,total_sales,product_revenue,z_score
38.0,15656,Mas de Daumas Gassac IGP Saint-Guilhem-le-Désert 2018,4201,0.0,0.0,0.1980136211193066
38.0,15655,Mas de Daumas Gassac IGP Saint-Guilhem-le-Désert Blanc 2019,4202,0.0,0.0,0.1980136211193066
9.9,15415,Mas Laval IGP Pays d'Hérault Les Pampres Blancs 2018,4203,6.0,59.400000000000006,-0.8123952107342745
11.3,15414,Mas Laval IGP Pays d'Hérault Les Pampres Rouges 2017,4204,3.0,33.900000000000006,-0.7620545571899678
23.0,15413,Mas Laval Terrasses du Larzac La Grande Cuvée 2016,4205,12.0,276.0,-0.3413505239982634
6.7,16023,Domaine Montrose Côtes de Thongue Rouge 2018,4207,5.0,33.5,-0.9274595616926894
7.6,16024,Domaine Montrose Côtes de Thongue Rosé 2019,4208,16.0,121.6,-0.8950977129856351
79.8,15720,Lucien Boillot Nuits-Saint-Georges 1er Cru Les Pruliers 2017,4210,0.0,0.0,1.7010417055136013
48.5,15714,Lucien Boillot Pommard 2017,4211,1.0,48.5,0.5755685227016055
39.8,15717,Lucien Boillot Volnay 2017,4212,2.0,79.6,0.26273731853341487
58.8,15718,Lucien Boillot Volnay 1er Cru Les Angles 2017,4213,0.0,0.0,0.9459319023490035
26.5,15480,Marc Colin Et Fils Saint-Aubin Blanc Luce 2017,4215,0.0,0.0,-0.21549889013749704
13.4,15213,Domaine de l'Ecu Muscadet Classic 2018,4216,1.0,13.4,-0.6865435768735082
17.1,15672,Domaine de l'Ecu Muscadet Granite 2018,4217,0.0,0.0,-0.5535004210778408
16.7,12599,Domaine de l'Ecu Muscadet Orthogneiss 2014,4219,1.0,16.7,-0.5678834649476427
11.6,15758,Xavier Frissant Touraine Amboise Chenin Les Pierres 2018,4220,12.0,139.2,-0.7512672742876164
12.8,15829,Xavier Frissant Touraine Les Roses du Clos 2018,4221,15.0,192.0,-0.7081181426782109
8.9,15759,Xavier Frissant Touraine Amboise M de La Touche 2016,4222,4.0,35.6,-0.8483528204087791
9.7,16585,Xavier Frissant Touraine Sauvignon 2019,4223,3.0,29.099999999999998,-0.8195867326691754
17.2,15306,Pierre Martin Sancerre Chavignol Rouge 2017,4224,2.0,34.4,-0.5499046601103904
16.9,16497,Pierre Martin Sancerre Chavignol Blanc 2019,4225,13.0,219.7,-0.5606919430127418
12.6,15261,La Cotelleraie Saint-Nicolas-de-Bourgueil La Croisée 2018,4227,6.0,75.6,-0.7153096646131117
29.9,12657,Domaine de Bellivière Jasnières Les Rosiers 2015,4228,0.0,0.0,-0.09324301724418123
9.6,15403,Mérieau Touraine L'Arpent des Vaudons 2018,4229,0.0,0.0,-0.8231824936366258
11.1,15461,Argentine Mendoza Alamos Malbec 2018,4231,1.0,11.1,-0.7692460791248688
11.1,16269,Argentine Mendoza Alamos Chardonnay 2019,4232,2.0,22.2,-0.7692460791248688
17.1,13905,Maroc Graillot/Thaleb Tandem Syrah 2015,4235,1.0,17.1,-0.5535004210778408
28.0,16567,Domaine Augustin Collioure Blanc Adéodat 2019,4239,0.0,0.0,-0.16156247562574003
28.0,15436,Domaine Augustin Collioure Rouge Adéodat 2017,4240,0.0,0.0,-0.16156247562574003
8.9,14725,Parcé Frères IGP Côtes Catalanes Hommage à Fernand Blanc 2019,4241,1.0,8.9,-0.8483528204087791
8.6,15310,Parcé Frères Côtes du Roussillon Villages Zoé Rouge 2018,4242,14.0,120.39999999999999,-0.8591401033111304
13.5,15770,La Préceptorie Côtes du Roussillon Coume Marie 2018,4244,5.0,67.5,-0.6829478159060577
8.9,16097,Parcé Frères IGP Pays d'Oc Zoé Viognier 2019,4245,1.0,8.9,-0.8483528204087791
15.3,15428,Domaine Saint-Denis Mâcon Lugny 2017,4246,7.0,107.10000000000001,-0.6182241184919492
14.8,15033,Domaine Saint-Denis Mâcon Chardonnay 2017,4248,12.0,177.60000000000002,-0.6362029233292016
19.5,16317,Domaine Saint-Denis Bourgogne Rouge Clos de la Coque 2018,4250,30.0,585.0,-0.4672021578590297
14.1,15032,Domaine Saint-Denis Bourgogne Rouge Le Clos 2017,4251,8.0,112.8,-0.6613732501013548
59.6,6616,Domaine Huet Vouvray Le Clos du Bourg Moelleux Première Trie 2008,4253,0.0,0.0,0.9746979900886074
26.9,12203,Domaine Huet Vouvray Haut-Lieu Demi-Sec 2015,4254,0.0,0.0,-0.20111584626769521
24.4,14253,Domaine Huet Vouvray Haut-Lieu Sec 2017,4256,0.0,0.0,-0.2910098704539569
31.7,12476,Domaine Huet Vouvray Le Mont Moelleux 2015,4257,0.0,0.0,-0.02851931983007281
32.1,14485,Domaine Huet Vouvray Le Mont Sec 2017,4258,5.0,160.5,-0.014136275960270868
12.2,14945,Chermette Domaine du Vissoux Beaujolais Blanc Collonge 2017,4260,2.0,24.4,-0.7296927084829138
9.9,15662,Chermette Domaine du Vissoux Beaujolais Griottes 2018,4261,1.0,9.9,-0.8123952107342745
15.8,15663,Chermette Domaine du Vissoux Brouilly Pierreux 2018,4262,3.0,47.400000000000006,-0.6002453136546969
15.8,15664,Chermette Domaine du Vissoux Fleurie Poncié 2018,4263,0.0,0.0,-0.6002453136546969
17.8,15665,Chermette Domaine du Vissoux Moulin à Vent Les Trois Roches 2018,4264,2.0,35.6,-0.5283300943056876
9.6,15136,Domaine Bulliat Beaujolais Villages Bibine 2018,4265,3.0,28.799999999999997,-0.8231824936366258
19.0,16537,Domaine Bulliat Morgon Amphore Cou de Jus 2019,4267,2.0,38.0,-0.485180962696282
15.2,16307,Domaine Bulliat Morgon Le Colombier 2019,4268,1.0,15.2,-0.6218198794593998
10.2,16244,Domaine Sérol Côte Roannaise Les Originelles 2019,4269,0.0,0.0,-0.801607927831923
15.5,15839,Domaine Sérol Côte Roannaise Les Millerands 2018,4270,4.0,62.0,-0.6110325965570483
16.6,13460,Domaine Sérol Côte Roannaise Perdrizière 2016,4271,0.0,0.0,-0.5714792259150931
9.2,13089,Domaine Sérol Côte Roannaise Rosé Cabochard 2016,4272,1.0,9.2,-0.8375655375064277
12.9,12942,Domaine Sérol Vin Mousseux Rosé Turbullent Méthode Ancestrale,4274,0.0,0.0,-0.7045223817107605
14.9,14864,I Fabbri Chianti Classico Lamole 2017,4275,12.0,178.8,-0.6326071623617512
17.6,14527,I Fabbri Chianti Classico Terra Di Lamole 2015,4276,0.0,0.0,-0.5355216162405885
24.8,14865,I Fabbri Chianti Classico Riserva 2015,4277,3.0,74.4,-0.27662682658415494
18.9,15690,Château de Cazeneuve Languedoc Blanc 2016,4280,0.0,0.0,-0.48877672366373254
11.6,16330,Château de Cazeneuve Val de Montferrand Rouge Caza Sorix 2019,4281,0.0,0.0,-0.7512672742876164
27.0,16154,Château de Cazeneuve Pic Saint-Loup Le Roc Des Mates 2017,4283,4.0,108.0,-0.1975200853002447
41.0,16153,Château de Cazeneuve Pic Saint-Loup Le Sang Du Calvaire 2017,4285,8.0,328.0,0.30588645014282057
69.8,16066,Domaine Hauvette Les Baux de Provence Amethyste 2017,4286,10.0,698.0,1.3414656087685548
38.6,16065,Domaine Hauvette Les Baux de Provence Cornaline 2014,4287,1.0,38.6,0.21958818692400944
26.7,15292,Domaine Hauvette IGP Alpilles Jaspe 2017,4288,1.0,26.7,-0.20830736820259613
19.0,16246,Domaine de La Tour Du Bon Bandol Blanc 2019,4297,0.0,0.0,-0.485180962696282
23.2,16501,Domaine de La Tour Du Bon Bandol Rouge 2018,4298,1.0,23.2,-0.33415900206336246
39.1,16578,Domaine de La Tour Du Bon Bandol Rouge Saint Ferréol 2018,4299,0.0,0.0,0.23756699176126178
44.0,15567,Domaine de La Tour Du Bon Bandol Rouge En Sol 2017,4300,1.0,44.0,0.4137592791663346
17.5,16553,Domaine de La Tour Du Bon Bandol Rosé 2019,4301,3.0,52.5,-0.539117377208039
30.0,13172,Rimauresq Côtes de Provence Rouge Cru Classé Quintessence 2015,4303,0.0,0.0,-0.08964725627673072
8.1,15120,Domaine de l'Idylle Savoie Cruet 2018,4304,0.0,0.0,-0.8771189081483828
10.7,15949,Domaine de l'Idylle Roussette de Savoie Anne de Chypre 2018,4306,1.0,10.7,-0.7836291229946707
10.9,15946,Domaine de l'Idylle Savoie Mondeuse Le Tithonien 2018,4307,0.0,0.0,-0.7764376010597698
49.0,7818,Champagne Gosset Grand Blanc de Blancs,4334,96.0,4704.0,0.5935473275388579
35.5,13599,Champagne Mailly Grand Cru Blanc de Pinot Noir,4336,1.0,35.5,0.10811959693304493
83.0,4679,Champagne Mailly Grand Cru Les Echansons 2007,4337,0.0,0.0,1.8161060564720164
59.0,12586,Champagne Egly-Ouriet Grand Cru Brut Tradition,4348,0.0,0.0,0.9531234242839045
79.5,12588,Champagne Egly-Ouriet Grand Cru Extra Brut V.P.,4350,0.0,0.0,1.6902544226112501
79.5,12587,Champagne Egly-Ouriet Grand Cru Brut Rosé,4353,3.0,238.5,1.6902544226112501
51.6,12585,Champagne Egly-Ouriet Premier Cru Les Vignes de Vrigny,4356,12.0,619.2,0.6870371126925701
39.0,9562,Champagne Larmandier-Bernier Latitude,4357,0.0,0.0,0.23397123079381124
77.0,13854,Champagne Larmandier-Bernier Grand Cru Vieilles Vignes du Levant 2008,4358,0.0,0.0,1.6003603984249883
85.6,13853,Champagne Larmandier-Bernier Grand Cru Les Chemins d'Avize 2011,4359,1.0,85.6,1.9095958416257284
49.5,11585,Wemyss Malts Blended Malt Scotch Whisky The Hive,4364,1.0,49.5,0.6115261323761102
49.5,11467,Wemyss Malts Blended Malt Scotch Whisky Peat Chimney,4391,0.0,0.0,0.6115261323761102
49.5,11586,Wemyss Malts Blended Malt Scotch Whisky Spice King,4392,0.0,0.0,0.6115261323761102
57.0,13765,Wemyss Malts Blended Malt Scotch Whisky Vanilla Burst,4393,0.0,0.0,0.8812082049348952
59.8,13766,Wemyss Malts Blended Malt Scotch Whisky Treacle Chest,4394,0.0,0.0,0.9818895120235082
27.5,11587,Wemyss Malts Blended Scotch Whisky Lord Elcho,4395,0.0,0.0,-0.17954128046299236
62.0,9636,Wemyss Malts Blended Malt Scotch Whisky The Hive 12 ans,4396,0.0,0.0,1.0609962533074184
59.0,12639,Wemyss Malts Blended Malt Scotch Whisky The Hive Batch Strength,4397,0.0,0.0,0.9531234242839045
59.0,12641,Wemyss Malts Blended Malt Scotch Whisky Peat Chimney Batch Strength,4398,0.0,0.0,0.9531234242839045
59.0,12640,Wemyss Malts Blended Malt Scotch Whisky Spice King Batch Strength,4399,1.0,59.0,0.9531234242839045
44.0,14768,Cognac Frapin 1270,4400,0.0,0.0,0.4137592791663346
62.5,3506,Cognac Frapin VSOP,4401,1.0,62.5,1.0789750581446709
68.1,13230,Cognac Frapin Château de Fontpinot XO 1/2,4405,0.0,0.0,1.2803376723218967
28.1,15426,Domaine de Montcalmès Terrasses du Larzac Rouge 2017,4558,3.0,84.30000000000001,-0.15796671465828951
21.7,15621,Domaine Giudicelli Vin de France Eté Rouge 2018,4564,19.0,412.3,-0.3880954165751194
28.5,15457,Domaine de Montcalmès Coteaux du Languedoc Blanc 2017,4566,0.0,0.0,-0.14358367078848772
67.2,13604,Château de Meursault Beaune-Grèves Les Trois Journaux 1er Cru 2015,4573,0.0,0.0,1.2479758236148428
43.9,15476,Marc Colin Et Fils Chassagne-Montrachet Blanc Margot 2017,4596,23.0,1009.6999999999999,0.410163518198884
61.6,14000,Marc Colin Et Fils Chassagne-Montrachet Blanc Les Vide-Bourses 1er Cru 2016,4597,2.0,123.2,1.0466132094376166
41.8,15478,Marc Colin Et Fils Saint-Aubin Blanc En Montceau 2017,4598,1.0,41.8,0.3346525378824242
26.5,15475,Marc Colin Et Fils Chassagne-Montrachet Rouge Vieilles Vignes 2017,4600,0.0,0.0,-0.21549889013749704
16.1,16151,Catherine et Claude Maréchal Bourgogne Aligoté 2018,4601,4.0,64.4,-0.5894580307523455
31.5,15659,Catherine et Claude Maréchal Chorey-Lès-Beaune 2017,4602,7.0,220.5,-0.035710841764973716
31.5,15147,Catherine et Claude Maréchal Ladoix Rouge Les Chaillots 2017,4603,1.0,31.5,-0.035710841764973716
49.0,15660,Catherine et Claude Maréchal Pommard La Chanière 2016,4604,1.0,49.0,0.5935473275388579
32.2,15148,Catherine et Claude Maréchal Savigny-Lès-Beaune Rouge 2016,4605,0.0,0.0,-0.010540514992820351
50.1,15149,Catherine et Claude Maréchal Volnay 2017,4606,1.0,50.1,0.633100698180813
13.4,15146,François Bergeret Hautes Côtes de Beaune Vieilles Vignes Rondo 2017,4607,0.0,0.0,-0.6865435768735082
11.8,15145,François Bergeret Hautes Côtes de Beaune Rouge 2017,4609,0.0,0.0,-0.7440757523527155
13.1,15801,François Bergeret Hautes Côtes de Beaune Blanc 2018,4610,0.0,0.0,-0.6973308597758595
26.2,15452,Gilbert Picq Chablis Vosgros 1er Cru 2017,4611,15.0,393.0,-0.22628617303984846
20.6,15038,Gilbert Picq Chablis Vieilles Vignes 2017,4612,10.0,206.0,-0.4276487872170745
16.9,15030,Gilbert Picq Chablis 2017,4613,9.0,152.1,-0.5606919430127418
19.0,15875,Gilbert Picq Chablis En Vaudécorse 2017,4614,11.0,209.0,-0.485180962696282
24.0,16186,Alphonse Mellot Sancerre Blanc La Moussière 2018,4615,7.0,168.0,-0.3053929143237587
57.0,14371,Alphonse Mellot Sancerre Rouge La Demoiselle 2015,4616,0.0,0.0,0.8812082049348952
67.5,10459,Alphonse Mellot Sancerre Rouge Génération XIX 2011,4617,0.0,0.0,1.258763106517194
30.6,14372,Alphonse Mellot Sancerre Rouge La Moussière 2014,4618,0.0,0.0,-0.06807269047202787
59.0,11049,Alphonse Mellot Sancerre Rouge En Grands Champs 2012,4619,0.0,0.0,0.9531234242839045
11.9,15850,Bernard Baudry Chinon Rouge Les Granges 2018,4620,6.0,71.4,-0.7404799913852652
16.5,15849,Bernard Baudry Chinon Rouge Les Grézeaux 2017,4621,9.0,148.5,-0.5750749868825437
52.4,812,Marcel Windholtz Eau de Vie de Sureau,4625,0.0,0.0,0.7158032004321737
52.9,807,Marcel Windholtz Eau de Vie de Prunelle Sauvage,4626,0.0,0.0,0.733782005269426
58.3,805,Marcel Windholtz Eau de Vie de Poire Williams Réserve Particulière,4627,4.0,233.2,0.9279530975117511
39.6,802,Marcel Windholtz Eau de Vie de Marc de Muscat,4628,0.0,0.0,0.2555457965985141
52.4,2534,Marcel Windholtz Eau de Vie de Fraise,4629,2.0,104.8,0.7158032004321737
62.4,793,Marcel Windholtz Eau de Vie de Coing,4630,4.0,249.6,1.0753792971772203
